Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
24/01/2018 0:00;DE 20:00 A 20:59;1;CHAMBERI                      ;CALLE DE SANTA ENGRACIA                                                                         ;33;CAÍDA BICICLETA                         ;BICICLETA                               
24/01/2018 0:00;DE 20:00 A 20:59;2;SAN BLAS                      ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;13000;COLISIÓN DOBLE                          ;BICICLETA                               
24/01/2018 0:00;DE 21:00 A 21:59;1;RETIRO                        ;AUTOVIA  M-30 CALZADA 1 - AVENIDA DE LA CIUDAD DE BARCELONA                                         ;          ;CAÍDA BICICLETA                         ;BICICLETA                               
24/01/2018 0:00;DE 22:00 A 22:59;1;ARGANZUELA                    ;PARQUE DE MADRID RIO (RIBERA ESTE) KM.                                                              ;6600;CAÍDA BICICLETA                         ;BICICLETA                               
26/01/2018 0:00;DE 15:00 A 15:59;1;MONCLOA-ARAVACA               ;CALLE DEL CERRO DE VALDECAHONDE                                                                 ;15;COLISIÓN DOBLE                          ;BICICLETA                               
26/01/2018 0:00;DE 22:00 A 22:59;1;VILLAVERDE                    ;CALLE DE ENCARNACION OVIOL                                                                      ;27;CAÍDA BICICLETA                         ;BICICLETA                               
27/01/2018 0:00;DE 9:00 A 9:59;1;USERA                         ;AVENIDA DE LOS POBLADOS - CAMINO  VIEJO DE VILLAVERDE                                               ;;COLISIÓN DOBLE                          ;BICICLETA                               
27/01/2018 0:00;DE 13:00 A 13:59;1;TETUAN                        ;CALLE DEL COMANDANTE ZORITA                                                                     ;17;COLISIÓN DOBLE                          ;BICICLETA                               
27/01/2018 0:00;DE 15:00 A 15:59;1;CARABANCHEL                   ;CARRIL  ANILLO VERDE CICLISTA KM.                                                                   ;32700;CAÍDA BICICLETA                         ;BICICLETA                               
27/01/2018 0:00;DE 19:00 A 19:59;1;CIUDAD LINEAL                 ;CALLE DE JOSE DEL HIERRO                                                                        ;3;COLISIÓN DOBLE                          ;BICICLETA                               
28/01/2018 0:00;DE 12:00 A 12:59;1;SAN BLAS                      ;CALLE DE SOFIA                                                                                  ;7;CAÍDA BICICLETA                         ;BICICLETA                               
28/01/2018 0:00;DE 16:00 A 16:59;2;RETIRO                        ;PLAZA DEL MAESTRO VILLA                                                                             ;;COLISIÓN DOBLE                          ;BICICLETA                               
28/01/2018 0:00;DE 22:00 A 22:59;1;CENTRO                        ;CALLE DE GENOVA - PLAZA DE ALONSO MARTINEZ                                                          ;;COLISIÓN DOBLE                          ;BICICLETA                               
29/01/2018 0:00;DE 15:00 A 15:59;1;VILLA DE VALLECAS             ;CALLE DE SIERRA GORDA - PLAZA DE JUAN DE MALASAÑA                                                   ;;COLISIÓN DOBLE                          ;BICICLETA                               
29/01/2018 0:00;DE 19:00 A 19:59;1;CHAMARTIN                     ;CALLE DE BALBINA VALVERDE - CALLE DE JOAQUIN COSTA                                                  ;;COLISIÓN DOBLE                          ;BICICLETA                               
